date,Open,High,Low,Volume,RSI,MACD,MACD_Signal,Close
2010-01-21 00:00:00,21192.830078125,21272.259765625,20828.240234375,2465600000,33.249894765234515,-145.0725510160919,-20.743864614245247,20862.669921875
2010-01-22 00:00:00,20527.19921875,20738.990234375,20250.359375,3220400000,31.7391284559654,-206.58505603769663,-57.91210289893553,20726.1796875
2010-01-25 00:00:00,20447.7890625,20619.69921875,20422.669921875,1909800000,18.582309605628467,-262.6055917408012,-98.85080066730866,20598.55078125
2010-01-26 00:00:00,20560.109375,20560.109375,20046.599609375,2270000000,11.89266083455911,-342.5298214812283,-147.5866048300926,20109.330078125
2010-01-27 00:00:00,20185.80078125,20340.8203125,19923.55078125,1822400000,12.17810832736565,-407.3284463535747,-199.53497313478903,20033.0703125
2010-01-28 00:00:00,20202.330078125,20437.560546875,20170.150390625,1880600000,20.170556051641213,-427.66446021961383,-245.16087055175402,20356.369140625
2010-01-29 00:00:00,20026.51953125,20327.689453125,19916.33984375,1784300000,16.05155867451994,-457.42045836002217,-287.61278811340765,20121.990234375
2010-02-01 00:00:00,19987.669921875,20254.240234375,19845.9296875,1702000000,19.449667751815937,-465.8077638234754,-323.25178325542123,20243.75
2010-02-02 00:00:00,20432.9609375,20533.9609375,20181.279296875,1561600000,24.18248597488629,-464.80276865867563,-351.5619803360721,20272.1796875
2010-02-03 00:00:00,20486.150390625,20780.5,20315.310546875,1922100000,34.823150837988834,-422.8289917855873,-365.81538262597513,20722.080078125
2010-02-04 00:00:00,20534.740234375,20554.19921875,20316.330078125,1607700000,31.74641805947755,-415.47343645869114,-375.74699339251833,20341.640625
2010-02-05 00:00:00,19706.240234375,19822.9296875,19655.880859375,2515400000,27.990627257208217,-458.9464388853776,-392.3868824910902,19665.080078125
2010-02-08 00:00:00,19614.849609375,19673.109375,19423.05078125,1751000000,23.236525739450116,-496.88545483778944,-413.2865969604301,19550.890625
2010-02-09 00:00:00,19493.5,19843.869140625,19461.19921875,1495200000,30.427685042267626,-501.85071055022127,-430.99941967838834,19790.279296875
2010-02-10 00:00:00,19914.83984375,19976.66015625,19681.5390625,1581400000,36.67876204419626,-489.4965313585344,-442.6988420144176,19922.220703125
2010-02-11 00:00:00,20095.529296875,20310.7890625,20095.529296875,1338900000,44.21177783835002,-444.84550456893703,-443.1281745253215,20290.689453125
2010-02-12 00:00:00,20240.669921875,20428.3203125,20212.55078125,1193600000,45.48905898686587,-406.548027687415,-435.81214515774025,20268.689453125
2010-02-17 00:00:00,20657.859375,20684.220703125,20471.359375,1111700000,56.186452830274575,-350.7447028920651,-418.79865670460526,20534.009765625
2010-02-18 00:00:00,20534.76953125,20569.609375,20381.30078125,720600000,55.60967862386608,-311.95031363197995,-397.4289880900802,20422.150390625
2010-02-19 00:00:00,20261.490234375,20261.490234375,19874.55078125,1329500000,43.705705581143306,-320.13095682698986,-381.96938183746215,19894.01953125
2010-02-22 00:00:00,20407.83984375,20427.08984375,20313.150390625,1067700000,53.25475290094673,-284.34221908146355,-362.44394928626247,20377.26953125
